gene	report_path	if_candidate	hpa_images_found	hpa_location	hpa_subcell_url	hpa_image_urls	hpa_error	pae_candidate	pae_url	pae_error	changed	applied
FOXO6	detail/nucleolus/FOXO6/FOXO6-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000204060-FOXO6/subcellular			False			False	False
FRG1	detail/nucleolus/FRG1/FRG1-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000109536-FRG1/subcellular			False			False	False
FSAF1	detail/nucleolus/FSAF1/FSAF1-evaluation.md	True	0				hpa_entry_not_found	False			False	False
ILF2	detail/nucleolus/ILF2/ILF2-evaluation.md	True	6	Nucleoplasm (supported)	https://www.proteinatlas.org/ENSG00000143621-ILF2/subcellular	https://images.proteinatlas.org/72048/1975_D3_1_red_green.jpg;https://images.proteinatlas.org/72048/1975_D3_4_red_green.jpg;https://images.proteinatlas.org/72048/2055_H10_2_red_green.jpg;https://images.proteinatlas.org/72048/2055_H10_4_red_green.jpg;https://images.proteinatlas.org/72048/2162_D6_1_red_green.jpg;https://images.proteinatlas.org/72048/2162_D6_2_red_green.jpg		False			True	True
ISG20L2	detail/nucleolus/ISG20L2/ISG20L2-evaluation.md	True	6	Nucleoplasm (approved)	https://www.proteinatlas.org/ENSG00000143319-ISG20L2/subcellular	https://images.proteinatlas.org/54285/834_H7_1_red_green.jpg;https://images.proteinatlas.org/54285/834_H7_2_red_green.jpg;https://images.proteinatlas.org/54285/856_E1_2_red_green.jpg;https://images.proteinatlas.org/54285/856_E1_3_red_green.jpg;https://images.proteinatlas.org/54285/877_H7_1_red_green.jpg;https://images.proteinatlas.org/54285/877_H7_2_red_green.jpg		False			True	True
MOB1A	detail/nucleolus/MOB1A/MOB1A-evaluation.md	True	6	Nucleoli (approved)	https://www.proteinatlas.org/ENSG00000114978-MOB1A/subcellular	https://images.proteinatlas.org/71690/1385_A3_1_red_green.jpg;https://images.proteinatlas.org/71690/1385_A3_3_red_green.jpg;https://images.proteinatlas.org/71690/1394_A3_1_red_green.jpg;https://images.proteinatlas.org/71690/1394_A3_3_red_green.jpg;https://images.proteinatlas.org/71690/1492_F1_1_red_green.jpg;https://images.proteinatlas.org/71690/1492_F1_6_red_green.jpg		False			True	True
MOB1B	detail/nucleolus/MOB1B/MOB1B-evaluation.md	True	6	Nucleoplasm (supported)	https://www.proteinatlas.org/ENSG00000173542-MOB1B/subcellular	https://images.proteinatlas.org/71690/1385_A3_1_red_green.jpg;https://images.proteinatlas.org/71690/1385_A3_3_red_green.jpg;https://images.proteinatlas.org/71690/1394_A3_1_red_green.jpg;https://images.proteinatlas.org/71690/1394_A3_3_red_green.jpg;https://images.proteinatlas.org/71690/1492_F1_1_red_green.jpg;https://images.proteinatlas.org/71690/1492_F1_6_red_green.jpg		False			True	True
MOB2	detail/nucleolus/MOB2/MOB2-evaluation.md	True	6	Nucleoli (supported)	https://www.proteinatlas.org/ENSG00000182208-MOB2/subcellular	https://images.proteinatlas.org/46313/599_A8_1_red_green.jpg;https://images.proteinatlas.org/46313/599_A8_2_red_green.jpg;https://images.proteinatlas.org/46313/601_A8_3_red_green.jpg;https://images.proteinatlas.org/46313/601_A8_4_red_green.jpg;https://images.proteinatlas.org/46313/603_A8_1_red_green.jpg;https://images.proteinatlas.org/46313/603_A8_2_red_green.jpg		False			True	True
MON2	detail/nucleolus/MON2/MON2-evaluation.md	True	6	Nucleoplasm (approved)	https://www.proteinatlas.org/ENSG00000061987-MON2/subcellular	https://images.proteinatlas.org/38697/431_B12_1_red_green.jpg;https://images.proteinatlas.org/38697/431_B12_2_red_green.jpg;https://images.proteinatlas.org/38697/437_B12_1_red_green.jpg;https://images.proteinatlas.org/38697/437_B12_2_red_green.jpg;https://images.proteinatlas.org/38697/443_B12_1_red_green.jpg;https://images.proteinatlas.org/38697/443_B12_2_red_green.jpg		False			True	True
MPHOSPH6	detail/nucleolus/MPHOSPH6/MPHOSPH6-evaluation.md	True	6	Nucleoplasm (approved)	https://www.proteinatlas.org/ENSG00000135698-MPHOSPH6/subcellular	https://images.proteinatlas.org/26948/604_D8_1_red_green.jpg;https://images.proteinatlas.org/26948/604_D8_2_red_green.jpg;https://images.proteinatlas.org/26948/607_D8_1_red_green.jpg;https://images.proteinatlas.org/26948/607_D8_2_red_green.jpg;https://images.proteinatlas.org/26948/609_D8_1_red_green.jpg;https://images.proteinatlas.org/26948/609_D8_2_red_green.jpg		False			True	True
MRI1	detail/nucleolus/MRI1/MRI1-evaluation.md	True	6	Nucleoplasm (supported)	https://www.proteinatlas.org/ENSG00000037757-MRI1/subcellular	https://images.proteinatlas.org/42744/474_F6_5_red_green.jpg;https://images.proteinatlas.org/42744/474_F6_6_red_green.jpg;https://images.proteinatlas.org/42744/480_F6_1_red_green.jpg;https://images.proteinatlas.org/42744/480_F6_2_red_green.jpg;https://images.proteinatlas.org/42744/510_F6_1_red_green.jpg;https://images.proteinatlas.org/42744/510_F6_2_red_green.jpg		False			True	True
NGDN	detail/nucleolus/NGDN/NGDN-evaluation.md	True	6	Nucleoli (supported)	https://www.proteinatlas.org/ENSG00000129460-NGDN/subcellular	https://images.proteinatlas.org/944/38_A5_1_red_green.jpg;https://images.proteinatlas.org/944/38_A5_2_red_green.jpg;https://images.proteinatlas.org/944/39_A5_1_red_green.jpg;https://images.proteinatlas.org/944/39_A5_2_red_green.jpg;https://images.proteinatlas.org/944/40_A5_1_red_green.jpg;https://images.proteinatlas.org/944/40_A5_2_red_green.jpg		False			True	True
NHEJ1	detail/nucleolus/NHEJ1/NHEJ1-evaluation.md	True	6	Nucleoplasm (supported)	https://www.proteinatlas.org/ENSG00000187736-NHEJ1/subcellular	https://images.proteinatlas.org/43869/1309_D12_4_red_green.jpg;https://images.proteinatlas.org/43869/1309_D12_5_red_green.jpg;https://images.proteinatlas.org/43869/807_E3_2_red_green.jpg;https://images.proteinatlas.org/43869/807_E3_3_red_green.jpg;https://images.proteinatlas.org/43869/846_E3_1_red_green.jpg;https://images.proteinatlas.org/43869/846_E3_2_red_green.jpg		False			True	True
