gene	has_hpa_url	hpa_urls	local_imgs	total_img_tags	broken	broken_srcs
KIF1A	False			0	False	
KIF20B	True	https://images.proteinatlas.org/50214/1833_D10_7_selected.jpg		1	False	
KIF2A	False			0	False	
KIF2C	False			0	False	
KIF5B	False			0	False	
KIF6	True	https://images.proteinatlas.org/58624/1325_B4_3_selected.jpg		1	False	
KIFC1	False			0	False	
KIRREL2	True	https://images.proteinatlas.org/74326/1778_E11_1_selected.jpg		1	False	
KLC3	True	https://images.proteinatlas.org/52797/838_B12_5_selected.jpg		1	False	
KLHL12	True	https://images.proteinatlas.org/71324/1487_C7_2_selected.jpg		1	False	
KLHL21	True	https://images.proteinatlas.org/59307/1017_G5_2_selected.jpg		1	False	
KLHL30	True	https://images.proteinatlas.org/62095/1416_E11_2_selected.jpg		1	False	
KLHL35	True	https://images.proteinatlas.org/39864/1179_F9_1_selected.jpg		1	False	
KLHL4	True	https://images.proteinatlas.org/29192/275_D9_2_selected.jpg		1	False	
KLHL6	True	https://images.proteinatlas.org/24512/1848_B9_28_cr5bb74d40e4039_selected.jpg		1	False	
KMT5B	True	https://images.proteinatlas.org/38509/1800_A7_4_selected.jpg		1	False	
KNSTRN	True	https://images.proteinatlas.org/42027/1899_D5_32_selected.jpg		1	False	
KXD1	True	https://images.proteinatlas.org/41507/486_H5_1_selected.jpg		1	False	
LAMP5	True	https://images.proteinatlas.org/70765/1430_C2_1_selected.jpg		1	False	
LAS1L	True	https://images.proteinatlas.org/44431/516_B9_1_selected.jpg		1	False	
LATS2	False			0	False	
LCA5	True	https://images.proteinatlas.org/29054/1500_C1_5_selected.jpg		1	False	
LEO1	True	https://images.proteinatlas.org/40741/429_G11_1_selected.jpg		1	False	
LEPROT	True	https://images.proteinatlas.org/69444/1586_B2_2_selected.jpg		1	False	
LGI2	True	https://images.proteinatlas.org/17140/133_B12_2_selected.jpg		1	False	
LGR4	False			0	False	
LGR5	False			0	False	
LHCGR	False			0	False	
LINC02203	True	https://images.proteinatlas.org/57442/1296_D4_5_selected.jpg		1	False	
LMF2	True	https://images.proteinatlas.org/62626/1104_E10_3_selected.jpg		1	False	
LMNTD1	True	https://images.proteinatlas.org/38640/1541_B1_1_selected.jpg		1	False	
LMTK2	True	https://images.proteinatlas.org/10657/45_H7_2_selected.jpg		1	False	
LONRF1	True	https://images.proteinatlas.org/23584/236_E8_2_selected.jpg		1	False	
LRIF1	True	https://images.proteinatlas.org/44515/1177_H1_3_selected.jpg		1	False	
LRRC45	True	https://images.proteinatlas.org/23372/369_B10_2_selected.jpg		1	False	
