gene	excel_sheets	has_any_report	has_scored_report	has_rejected_report	has_duplicate	duplicate_status	current_status	current_lines	current_chars	needs_new_evaluation	skip_reason
DALRD3	研究很多	False	False	False	False	OK	missing	0	0	True	
DAP	研究很少	False	False	False	False	OK	missing	0	0	True	
DAXX	研究很少	False	False	False	False	OK	missing	0	0	True	
DAZL	研究很少	False	False	False	False	OK	missing	0	0	True	
DBP	研究很少	False	False	False	False	OK	missing	0	0	True	
DCAKD	研究很多	False	False	False	False	OK	missing	0	0	True	
DCK	Sheet1	False	False	False	False	OK	missing	0	0	True	
DCLK1	Sheet1	False	False	False	False	OK	missing	0	0	True	
DCPH1	研究很多	False	False	False	False	OK	missing	0	0	True	
DCTD	Sheet1	False	False	False	False	OK	missing	0	0	True	
DCTN4	研究很多	False	False	False	False	OK	missing	0	0	True	
DDAH1	Sheet1	False	False	False	False	OK	missing	0	0	True	
DDIT3	研究很少	False	False	False	False	OK	missing	0	0	True	
DDN	Sheet1	False	False	False	False	OK	missing	0	0	True	
DEDD	Sheet1	False	False	False	False	OK	missing	0	0	True	
DEK	研究很少	False	False	False	False	OK	missing	0	0	True	
DENND1C	研究很多	False	False	False	False	OK	missing	0	0	True	
DEPTOR	Sheet1	False	False	False	False	OK	missing	0	0	True	
DFFB	Sheet1	False	False	False	False	OK	missing	0	0	True	
DGAT1	Sheet1	False	False	False	False	OK	missing	0	0	True	
DGCR8	研究很少	False	False	False	False	OK	missing	0	0	True	
DGKQ	Sheet1	False	False	False	False	OK	missing	0	0	True	
DGKZ	Sheet1	False	False	False	False	OK	missing	0	0	True	
DHPS	Sheet1	False	False	False	False	OK	missing	0	0	True	
DIO2	Sheet1	False	False	False	False	OK	missing	0	0	True	
DISP2	研究很多	False	False	False	False	OK	missing	0	0	True	
DLD	研究很少	False	False	False	False	OK	missing	0	0	True	
DLL3	Sheet1	False	False	False	False	OK	missing	0	0	True	
DLST	Sheet1	False	False	False	False	OK	missing	0	0	True	
DLX1	研究很少	False	False	False	False	OK	missing	0	0	True	
DLX2	研究很少	False	False	False	False	OK	missing	0	0	True	
DLX3	Sheet1	False	False	False	False	OK	missing	0	0	True	
DLX4	Sheet1	False	False	False	False	OK	missing	0	0	True	
DLX5	研究很少	False	False	False	False	OK	missing	0	0	True	
DLX6	Sheet1	False	False	False	False	OK	missing	0	0	True	
DMRT1	研究很少	False	False	False	False	OK	missing	0	0	True	
DMRT2	Sheet1	False	False	False	False	OK	missing	0	0	True	
DMRTC1	研究很多	False	False	False	False	OK	missing	0	0	True	
DMRTC1B	研究很多	False	False	False	False	OK	missing	0	0	True	
DNAL1	研究很多	False	False	False	False	OK	missing	0	0	True	
DOHH	研究很少	False	False	False	False	OK	missing	0	0	True	
DOK1	Sheet1	False	False	False	False	OK	missing	0	0	True	
DOP1A	研究很多	False	False	False	False	OK	missing	0	0	True	
DOP1B	研究很多	False	False	False	False	OK	missing	0	0	True	
DOT1L	研究很少	False	False	False	False	OK	missing	0	0	True	
DPPA2	研究很少	False	False	False	False	OK	missing	0	0	True	
DPPA3	研究很少	False	False	False	False	OK	missing	0	0	True	
DPPA4	研究很少	False	False	False	False	OK	missing	0	0	True	
DPYSL5	Sheet1	False	False	False	False	OK	missing	0	0	True	
DROSHA	研究很少	False	False	False	False	OK	missing	0	0	True	
DTL	Sheet1	False	False	False	False	OK	missing	0	0	True	
DUX4	研究很少	False	False	False	False	OK	missing	0	0	True	
DVL2	Sheet1	False	False	False	False	OK	missing	0	0	True	
DYNC2I2	研究很多	False	False	False	False	OK	missing	0	0	True	
DYRK1A	研究很少	False	False	False	False	OK	missing	0	0	True	
Dcun1d1	重新pa一下	False	False	False	False	OK	missing	0	0	True	
Derpc	研究很多	False	False	False	False	OK	missing	0	0	True	
Dpy19l2	研究很多	False	False	False	False	OK	missing	0	0	True	
E2F1	研究很少	False	False	False	False	OK	missing	0	0	True	
E2F3	研究很少	False	False	False	False	OK	missing	0	0	True	
E2F4	研究很少	False	False	False	False	OK	missing	0	0	True	
EBF1	研究很少	False	False	False	False	OK	missing	0	0	True	
EBF2	研究很少	False	False	False	False	OK	missing	0	0	True	
EBLN2	研究很多	False	False	False	False	OK	missing	0	0	True	
EBP	研究很少	False	False	False	False	OK	missing	0	0	True	
ECD	研究很少	False	False	False	False	OK	missing	0	0	True	
EED	研究很少	False	False	False	False	OK	missing	0	0	True	
EEF1B2	研究很多	False	False	False	False	OK	missing	0	0	True	
EEIG2	研究很多	False	False	False	False	OK	missing	0	0	True	
EFCAB12	研究很多	False	False	False	False	OK	missing	0	0	True	
EFCAB5	研究很多	False	False	False	False	OK	missing	0	0	True	
EFHB	研究很多	False	False	False	False	OK	missing	0	0	True	
EFS	研究很少	False	False	False	False	OK	missing	0	0	True	
EHF	研究很少	False	False	False	False	OK	missing	0	0	True	
EHMT1	研究很少	False	False	False	False	OK	missing	0	0	True	
ELF1	研究很少	False	False	False	False	OK	missing	0	0	True	
ELK1	研究很少	False	False	False	False	OK	missing	0	0	True	
ELL	研究很少	False	False	False	False	OK	missing	0	0	True	
ELMOD2	研究很多	False	False	False	False	OK	missing	0	0	True	
EMD	研究很少	False	False	False	False	OK	missing	0	0	True	
EMX1	研究很少	False	False	False	False	OK	missing	0	0	True	
