gene	is_new
CREB3L2	false
CREB3L3	false
CREB3L4	false
CREB5	false
CREBBP	false
CREBL2	false
CREBRF	false
CREBZF	false
CRELD1	false
CREM	false
CRIP1	false
CRIP2	false
CRIP3	false
CRIPT	false
CRK	false
CRKL	false
CRLF3	false
CRLS1	false
CRNKL1	false
CROT	false
CRPPA	false
CRTC1	false
CRTC2	false
CRTC3	false
CRX	false
CRY1	false
CRY2	false
CRYAA	false
CRYAB	false
CRYBB1	false
CRYBB2	false
CRYBG1	false
CRYBG2	false
CRYGS	false
CRYL1	false
CRYM	false
CRYZ	false
CRYZL1	false
CS	false
CSAD	false
CSDE1	false
CSE1L	false
CSGALNACT1	false
CSNK1A1	false
CSNK1G1	false
CSNK2A2	false
CSNK2A2IP	false
CSNK2A3	false
CSNK2B	false
CSRNP1	false
CSRNP2	false
CSRNP3	false
CSRP1	false
CSRP2	false
CSRP3	false
CSTA	false
CSTB	false
CSTF1	false
CSTF2	false
CSTF2T	false
CSTF3	false
CSTPP1	false
CTAGE1	false
CTAGE4	false
CTAGE6	false
CTBP1	false
CTBP2	false
CTC1	false
CTCF	false
CTCFL	false
CTDNEP1	false
CTDP1	false
CTDSP1	false
CTDSP2	false
CTDSPL	false
CTDSPL2	false
CTNNAL1	false
CTNNBIP1	false
CTNNBL1	false
CTNND1	false
CTNND2	false
CTPS1	false
CTPS2	false
CTR9	false
CTSV	false
CTTNBP2	false
CTTNBP2NL	false
CTU1	false
CTU2	false
CTXN1	false
CUEDC2	false
CUL4A	true
CUL4B	false
CUL5	false
CUTC	false
CUX1	false
CUX2	false
CWC15	false
CWC27	false
CWF19L1	false
CWF19L2	false
CXADR	false
CXCL14	false
CXXC1	false
CXXC4	false
CXorf21	false
CXorf56	false
CXorf58	false
CYB561A3	false
CYB5D1	false
CYB5D2	false
CYB5R1	false
CYB5R2	false
CYB5R3	false
CYB5RL	false
CYFIP2	false
CYGB	false
CYLD	false
CYP20A1	false
CYP27C1	false
CYP2S1	false
CYP39A1	false
CYP4F22	false
CYP4V2	false
CYP4X1	false
CYP4Z1	false
CYREN	false
CYRIA	false
CYSRT1	false
CYTIP	false
CYYR1	false
Cbll1	false
Cdc14b	false
Chtf8	false
Crxos	false
Csnk1e	false
Csnk2a1	false
DAAM2	false
DAB2	false
DACH1	false
DACH2	false
DACT1	false
DACT3	false
DAG1	false
DAGLA	false
DALRD3	false
DAND5	false
DAP	false
DAPK3	false
DAPL1	false
DAXX	false
DAZ1	false
DAZ2	false
DAZ3	false
DAZ4	false
