gene	status	category	score	nuclear_score	source_table_status	source_table_category	report_path	docs_report_path	category_page	lines	has_hpa	has_if_image	has_pae	has_pdb	has_ppi	has_pubmed	has_scoring_table	has_manual_review	duplicate_count	duplicate_type	is_primary_candidate	known_backlog_flags	parse_quality	parse_notes
SLTM	scored	chromatin	100	1			detail/chromatin/SLTM/SLTM-evaluation.md	reports/SLTM.html	category/chromatin.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SMU1	scored	chromatin	5	16			detail/chromatin/SMU1/SMU1-evaluation.md	reports/SMU1.html	category/chromatin.html	186	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SOX14	scored	chromatin	1	32			detail/chromatin/SOX14/SOX14-evaluation.md	reports/SOX14.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SPC24	scored	chromatin	0	1			detail/chromatin/SPC24/SPC24-evaluation.md	reports/SPC24.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SPC25	scored	chromatin	80	16			detail/chromatin/SPC25/SPC25-evaluation.md	reports/SPC25.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SPINDOC	scored	chromatin	100	1			detail/chromatin/SPINDOC/SPINDOC-evaluation.md	reports/SPINDOC.html	category/chromatin.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SRCAP	rejected	chromatin	1.5	28			detail/chromatin/SRCAP/SRCAP-evaluation.md	reports/SRCAP.html	category/chromatin.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SSBP2	scored	chromatin	100	1			detail/chromatin/SSBP2/SSBP2-evaluation.md	reports/SSBP2.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SUPT16H	scored	chromatin	100	1			detail/chromatin/SUPT16H/SUPT16H-evaluation.md	reports/SUPT16H.html	category/chromatin.html	197	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SYCE1	scored	chromatin	100	1			detail/chromatin/SYCE1/SYCE1-evaluation.md	reports/SYCE1.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
SYCE2	scored	chromatin	100	1			detail/chromatin/SYCE2/SYCE2-evaluation.md	reports/SYCE2.html	category/chromatin.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
Sohlh2	scored	chromatin	1	28			detail/chromatin/Sohlh2/Sohlh2-evaluation.md	reports/Sohlh2.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TADA2A	scored	chromatin	100	1			detail/chromatin/TADA2A/TADA2A-evaluation.md	reports/TADA2A.html	category/chromatin.html	188	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TASOR2	scored	chromatin	100	1			detail/chromatin/TASOR2/TASOR2-evaluation.md	reports/TASOR2.html	category/chromatin.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TBX22	scored	chromatin	1	32			detail/chromatin/TBX22/TBX22-evaluation.md	reports/TBX22.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TELO2	scored	chromatin	100	1			detail/chromatin/TELO2/TELO2-evaluation.md	reports/TELO2.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TEX264	scored	chromatin	2	28			detail/chromatin/TEX264/TEX264-evaluation.md	reports/TEX264.html	category/chromatin.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TFAP2E	scored	chromatin	1	32			detail/chromatin/TFAP2E/TFAP2E-evaluation.md	reports/TFAP2E.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
THAP4	scored	chromatin	100	1			detail/chromatin/THAP4/THAP4-evaluation.md	reports/THAP4.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TNKS1BP1	scored	chromatin	1	28			detail/chromatin/TNKS1BP1/TNKS1BP1-evaluation.md	reports/TNKS1BP1.html	category/chromatin.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TOX4	scored	chromatin	100	1			detail/chromatin/TOX4/TOX4-evaluation.md	reports/TOX4.html	category/chromatin.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TRIOBP	scored	chromatin	1	28			detail/chromatin/TRIOBP/TRIOBP-evaluation.md	reports/TRIOBP.html	category/chromatin.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TRNP1	scored	chromatin	1	1			detail/chromatin/TRNP1/TRNP1-evaluation.md	reports/TRNP1.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TSPY1	scored	chromatin	1	28			detail/chromatin/TSPY1/TSPY1-evaluation.md	reports/TSPY1.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TSPY10	scored	chromatin	1.5	28			detail/chromatin/TSPY10/TSPY10-evaluation.md	reports/TSPY10.html	category/chromatin.html	167	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TSPY2	scored	chromatin	1.5	28			detail/chromatin/TSPY2/TSPY2-evaluation.md	reports/TSPY2.html	category/chromatin.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TSPY3	scored	chromatin	1.5	28			detail/chromatin/TSPY3/TSPY3-evaluation.md	reports/TSPY3.html	category/chromatin.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TSPY4	scored	chromatin	1	28			detail/chromatin/TSPY4/TSPY4-evaluation.md	reports/TSPY4.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TSPY8	scored	chromatin	1.5	28			detail/chromatin/TSPY8/TSPY8-evaluation.md	reports/TSPY8.html	category/chromatin.html	164	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
TSPY9	scored	chromatin	1	28			detail/chromatin/TSPY9/TSPY9-evaluation.md	reports/TSPY9.html	category/chromatin.html	166	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
UFL1	scored	chromatin	1.83	1			detail/chromatin/UFL1/UFL1-evaluation.md	reports/UFL1.html	category/chromatin.html	99	True	False	True	True	True	True	True	False	1	NONE	True		GOOD	ok
