gene	current_path	status	lines	final_score	nuclear_score	hpa_nuclear	uniprot_nuclear	go_nuclear	chromatin_or_rna_or_dna_related	pubmed_relevant	ppi_relevant	structure_relevant	rejection_reason	risk_level	recommended_action	reason
INPP5E	detail/rejected/INPP5E/INPP5E-evaluation.md	rejected	184	N/A	N/A	False	True	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
ITSN1	detail/rejected/ITSN1/ITSN1-evaluation.md	rejected	184	N/A	N/A	False	True	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
Ifi204	detail/rejected/Ifi204/Ifi204-evaluation.md	rejected	159	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
Ifi27l2a	detail/rejected/Ifi27l2a/Ifi27l2a-evaluation.md	rejected	159	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
Iigp1	detail/rejected/Iigp1/Iigp1-evaluation.md	rejected	159	N/A	N/A	False	False	False	False	False	False	False	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
LIMK2	detail/rejected/LIMK2/LIMK2-evaluation.md	rejected	182	N/A	N/A	False	True	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
LORICRIN	detail/rejected/LORICRIN/LORICRIN-evaluation.md	rejected	180	N/A	N/A	False	True	True	False	False	False	False	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
LTA4H	detail/rejected/LTA4H/LTA4H-evaluation.md	rejected	183	N/A	N/A	False	False	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=False go_nuke=True thin=False
LTC4S	detail/rejected/LTC4S/LTC4S-evaluation.md	rejected	182	N/A	N/A	False	True	True	False	False	False	True	PubMed>100	HIGH_FALSE_REJECTION_RISK	REOPEN_AND_REEVALUATE	packet=True hpa_nuke=False uni_nuke=True go_nuke=True thin=False
MAPDA	detail/rejected/MAPDA/MAPDA-evaluation.md	rejected	155	N/A	N/A	False	False	False	False	False	False	True	PubMed>100	LOW	KEEP_REJECTED	packet=True hpa_nuke=False uni_nuke=False go_nuke=False thin=False
MIOS	detail/rejected/MIOS/MIOS-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MIS18A	detail/rejected/MIS18A/MIS18A-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MKKS	detail/rejected/MKKS/MKKS-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MKLN1	detail/rejected/MKLN1/MKLN1-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MLIP	detail/rejected/MLIP/MLIP-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MLXIPL	detail/rejected/MLXIPL/MLXIPL-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MMS19	detail/rejected/MMS19/MMS19-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MMS22L	detail/rejected/MMS22L/MMS22L-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MNS1	detail/rejected/MNS1/MNS1-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MOB1A	detail/rejected/MOB1A/MOB1A-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MOB1B	detail/rejected/MOB1B/MOB1B-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MOB2	detail/rejected/MOB2/MOB2-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MOCS2	detail/rejected/MOCS2/MOCS2-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MON2	detail/rejected/MON2/MON2-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MORN2	detail/rejected/MORN2/MORN2-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MOSPD1	detail/rejected/MOSPD1/MOSPD1-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MPHOSPH6	detail/rejected/MPHOSPH6/MPHOSPH6-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MPHOSPH9	detail/rejected/MPHOSPH9/MPHOSPH9-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MPND	detail/rejected/MPND/MPND-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
MPPE1	detail/rejected/MPPE1/MPPE1-evaluation.md	rejected	11	N/A	N/A	False	False	False	False	False	False	False	MISSING_HARVEST_DATA	HIGH_FALSE_REJECTION_RISK	REHARVEST_THEN_REEVALUATE	packet=False hpa_nuke=False uni_nuke=False go_nuke=False thin=True
