gene	category	status	lines	risk	modified_today	issues	issue_count
DCPH1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DCTN4	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DENND1C	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DIPK1A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DIPK1B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DISP2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DMRTC1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DMRTC1B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DNAAF6	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DNAAF9	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DNAL1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DOP1A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DOP1B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DPCD	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DPH6	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DPH7	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
DYNC2I2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EBLN2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EEF1B2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EEIG2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EFCAB12	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EFCAB14	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EFCAB5	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EFHB	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
ELMOD2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
ENTPD7	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
ENTREP2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EPHX3	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
ERICH2	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
ERICH4	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
ERICH5	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
ERLN	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
ESPNL	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EVA1B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EVPLL	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
EXOC6B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM110A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM117A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM117B	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM124A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM131A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
