gene	cat	status	length	priority	issues_count	issues
POU2F1	rejected	rejected	811	MED	1	REJ_NO_CLEAR_REASON
POU2F2	rejected	rejected	813	MED	1	REJ_NO_CLEAR_REASON
POU2F3	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
POU3F1	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
POU3F2	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
POU3F3	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
POU3F4	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
POU4F1	rejected	rejected	812	MED	1	REJ_NO_CLEAR_REASON
POU4F2	rejected	rejected	811	MED	1	REJ_NO_CLEAR_REASON
PPAN	rejected	rejected	730	MED	1	REJ_NO_CLEAR_REASON
PPARGC1A	rejected	rejected	855	MED	1	REJ_NO_CLEAR_REASON
PPARGC1B	rejected	rejected	848	MED	1	REJ_NO_CLEAR_REASON
PPIB	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
PPIE	rejected	rejected	810	MED	1	REJ_NO_CLEAR_REASON
PPM1D	rejected	rejected	891	OK	0	OK
PQBP1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
PRAME	rejected	rejected	790	MED	1	REJ_NO_CLEAR_REASON
PRAMEF12	rejected	rejected	751	MED	1	REJ_NO_CLEAR_REASON
PRICKLE1	rejected	rejected	787	MED	1	REJ_NO_CLEAR_REASON
PRIMPOL	rejected	rejected	822	MED	1	REJ_NO_CLEAR_REASON
PRKAA1	rejected	rejected	895	OK	0	OK
PRKCB	rejected	rejected	891	OK	0	OK
PRKCI	rejected	rejected	891	OK	0	OK
PRKN	rejected	rejected	887	OK	0	OK
PRKRA	rejected	rejected	882	MED	1	REJ_NO_CLEAR_REASON
PRM1	rejected	rejected	887	OK	0	OK
PRM2	rejected	rejected	749	MED	1	REJ_NO_CLEAR_REASON
PROP1	rejected	rejected	803	MED	1	REJ_NO_CLEAR_REASON
PRRX2	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
PTCH2	rejected	rejected	751	MED	1	REJ_NO_CLEAR_REASON
PTER	rejected	rejected	768	MED	1	REJ_NO_CLEAR_REASON
PTGES3	rejected	rejected	770	MED	1	REJ_NO_CLEAR_REASON
PTGS2	rejected	rejected	783	MED	1	REJ_NO_CLEAR_REASON
PTH1R	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
PTMA	rejected	rejected	755	MED	1	REJ_NO_CLEAR_REASON
PTMS	rejected	rejected	757	MED	1	REJ_NO_CLEAR_REASON
PTTG1	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
PURA	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
PYCARD	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
Pmf1	rejected	rejected	855	MED	1	REJ_NO_CLEAR_REASON
RACGAP1	rejected	rejected	819	MED	1	REJ_NO_CLEAR_REASON
RACK1	rejected	rejected	891	OK	0	OK
RAI1	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
RARB	rejected	rejected	795	MED	1	REJ_NO_CLEAR_REASON
RAX	rejected	rejected	775	MED	1	REJ_NO_CLEAR_REASON
RB1CC1	rejected	rejected	803	MED	1	REJ_NO_CLEAR_REASON
RBL1	rejected	rejected	779	MED	1	REJ_NO_CLEAR_REASON
RBL2	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
RBX1	rejected	rejected	887	OK	0	OK
RCC1	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
RD3	rejected	rejected	783	MED	1	REJ_NO_CLEAR_REASON
RERE	rejected	rejected	826	MED	1	REJ_NO_CLEAR_REASON
REV1	rejected	rejected	887	OK	0	OK
RGCC	rejected	rejected	760	MED	1	REJ_NO_CLEAR_REASON
RIOK2	rejected	rejected	730	MED	1	REJ_NO_CLEAR_REASON
RLBP1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
RMI1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
RORB	rejected	rejected	801	MED	1	REJ_NO_CLEAR_REASON
